"Période du ",,8/1/14,"au",,,10/31/14,,,,,,,,,,
,"Catégorie objets","Déposés",,,,"Restitués Perdants",,,"Taux",,,"Restitués Inventeurs",,,"Taux",
,,"I","NI","TOTAL","% TOTAL","I","NI","TOTAL","I","NI","Taux restitution total","I","NI","TOTAL","I","NI"
"PIÈCES IDENTIFIEES",,9018,2761,11779,24.8360638455,3404,161,3565,37.75%,5.83%,30.27%,0,0,,0.00%,0.00%
"PORTEFEUILLE",,4555,4371,8926,18.820503089,3029,323,3352,66.50%,7.39%,37.55%,0,0,,0.00%,0.00%
"DIVERS",,40,3436,3476,7.3291584962,20,161,181,50.00%,4.69%,5.21%,0,0,,0.00%,0.00%
"TÉLÉPHONIE",,2,2555,2557,5.3914436924,0,226,226,0.00%,8.85%,8.84%,0,0,,0.00%,0.00%
"OPTIQUE",,1,2050,2051,4.3245408733,1,39,40,100.00%,1.90%,1.95%,0,0,,0.00%,0.00%
"SAC LOISIRS",,343,1563,1906,4.0188078521,221,202,423,64.43%,12.92%,22.19%,0,1,,0.00%,0.06%
"SAC A COURSE",,168,1653,1821,3.8395850465,89,87,176,52.98%,5.26%,9.67%,0,0,,0.00%,0.00%
"DOCUMENTS DIVERS",,669,1010,1679,3.540177536,298,46,344,44.54%,4.55%,20.49%,0,0,,0.00%,0.00%
"DIVERSES PIECES IDENTIFIEES",,457,1090,1547,3.2618550615,191,28,219,41.79%,2.57%,14.16%,0,0,,0.00%,0.00%
"SACOCHE",,559,714,1273,2.6841250764,400,95,495,71.56%,13.31%,38.88%,1,0,,0.18%,0.00%
"PORTE MONNAIE",,195,702,897,1.8913277247,113,27,140,57.95%,3.85%,15.61%,0,0,,0.00%,0.00%
"PARAPLUIE",,1,866,867,1.8280726169,0,5,5,0.00%,0.58%,0.58%,0,0,,0.00%,0.00%
"PIÈCES BANCAIRES",,208,650,858,1.8090960845,42,16,58,20.19%,2.46%,6.76%,0,0,,0.00%,0.00%
"ACCESSOIRES VESTIMENTAIRES",,0,703,703,1.4822780273,0,9,9,,1.28%,1.28%,0,0,,,0.00%
"CARTABLE",,387,265,652,1.3747443439,182,32,214,47.03%,12.08%,32.82%,0,0,,0.00%,0.00%
"VETEMENTS HAUTS",,0,558,558,1.176545006,0,4,4,,0.72%,0.72%,0,0,,,0.00%
"CARTES DE TRANSPORT",,99,457,556,1.1723279988,42,6,48,42.42%,1.31%,8.63%,0,0,,0.00%,0.00%
"BIJOU DE MAIN",,1,531,532,1.1217239125,0,8,8,0.00%,1.51%,1.50%,0,0,,0.00%,0.00%
"VETEMENTS",,6,427,433,0.9129820566,4,13,17,66.67%,3.04%,3.93%,0,0,,0.00%,0.00%
"MANTEAU",,11,410,421,0.8876800135,6,15,21,54.55%,3.66%,4.99%,0,0,,0.00%,0.00%
"SAC DE VOYAGE",,65,309,374,0.7885803445,41,64,105,63.08%,20.71%,28.07%,0,0,,0.00%,0.00%
"INFORMATIQUE",,6,366,372,0.7843633373,5,55,60,83.33%,15.03%,16.13%,0,0,,0.00%,0.00%
"MONTRE",,0,357,357,0.7527357834,0,9,9,,2.52%,2.52%,0,0,,,0.00%
"COUVRE-CHEF",,0,337,337,0.7105657115,0,4,4,,1.19%,1.19%,0,0,,,0.00%
"LIVRE",,9,262,271,0.5714044742,4,2,6,44.44%,0.76%,2.21%,0,0,,0.00%,0.00%
"MÉDICAL",,48,217,265,0.5587534527,15,24,39,31.25%,11.06%,14.72%,0,0,,0.00%,0.00%
"SPORT",,1,201,202,0.4259177262,0,10,10,0.00%,4.98%,4.95%,0,0,,0.00%,0.00%
"PHOTO",,3,190,193,0.4069411938,2,9,11,66.67%,4.74%,5.70%,0,0,,0.00%,0.00%
"VETEMENTS DE SPORT",,1,157,158,0.333143568,0,1,1,0.00%,0.64%,0.63%,0,0,,0.00%,0.00%
