Période du ,01/08/2014,au,,31/10/2014,,,,,,,,,,
,Déposés,,,Restitués Perdants,,,Taux,,Restitués Inventeurs,,,Taux,,Taux global
,I,NI,TOTAL,I,NI,TOTAL,I,NI,I,NI,TOTAL,I,NI,
TOUS LIEUX,16906,30521,,8117,1711,,48.01%,5.61%,1,1,,0.01%,0.00%,20.73%
Total,16906,30521,0,8117,1711,0,48.01%,5.61%,1,1,0,0.01%,0.00%,20.73%
,,,,,,,,,,,,,,
,Déposés,,,Restitués Perdants,,,Taux,,Restitués Inventeurs,,,Taux,,Taux global
,I,NI,TOTAL,I,NI,TOTAL,I,NI,I,NI,TOTAL,I,NI,
AEROPORT,834,3290,,344,110,,41.25%,3.34%,0,0,,0.00%,0.00%,11.01%
AUTOLIB,2,11,,2,1,,100.00%,9.09%,0,0,,0.00%,0.00%,23.08%
GRANDS MAGASINS,60,216,,26,5,,43.33%,2.31%,0,0,,0.00%,0.00%,11.23%
POSTE,6033,3123,,3142,160,,52.08%,5.12%,0,0,,0.00%,0.00%,36.06%
RATP,3844,17416,,2142,1044,,55.72%,5.99%,0,0,,0.00%,0.00%,14.99%
TAXI,111,537,,81,145,,72.97%,27.00%,1,1,,0.90%,0.19%,35.19%
VOIE PUBLIQUE75,4007,3688,,1667,190,,41.60%,5.15%,0,0,,0.00%,0.00%,24.13%
VOIE PUBLIQUE92,830,1188,,298,26,,35.90%,2.19%,0,0,,0.00%,0.00%,16.06%
VOIE PUBLIQUE93,703,505,,235,13,,33.43%,2.57%,0,0,,0.00%,0.00%,20.53%
VOIE PUBLIQUE94,482,547,,180,17,,37.34%,3.11%,0,0,,0.00%,0.00%,19.14%
Total,16906,30521,0,8117,1711,0,48.01%,5.61%,1,1,0,0.01%,0.00%,20.73%
,,,,,,,,,,,,,,
,Déposés,,,Restitués Perdants,,,Taux,,Restitués Inventeurs,,,Taux,,Taux global
,I,NI,TOTAL,I,NI,TOTAL,I,NI,I,NI,TOTAL,I,NI,
AIR FRANCE,0,151,,0,1,,,0.66%,0,0,,,0.00%,0.66%
ALFORTVILLE,2,7,,2,0,,100.00%,0.00%,0,0,,0.00%,0.00%,22.22%
ANTONY,57,44,,23,2,,40.35%,4.55%,0,0,,0.00%,0.00%,24.75%
ARCUEIL,0,2,,0,0,,,0.00%,0,0,,,0.00%,0.00%
ASNIERES,123,198,,45,3,,36.59%,1.52%,0,0,,0.00%,0.00%,14.95%
AULNAY SOUS BOIS,110,52,,29,1,,26.36%,1.92%,0,0,,0.00%,0.00%,18.52%
AUTRE RATP,0,2,,0,0,,,0.00%,0,0,,,0.00%,0.00%
AUTRE VP,1772,738,,521,22,,29.40%,2.98%,0,0,,0.00%,0.00%,21.63%
BAGNOLET,36,14,,11,1,,30.56%,7.14%,0,0,,0.00%,0.00%,24.00%
BOIS COLOMBES,7,18,,3,0,,42.86%,0.00%,0,0,,0.00%,0.00%,12.00%
BONDY,29,10,,7,0,,24.14%,0.00%,0,0,,0.00%,0.00%,17.95%
BOULOGNE BILLANCOURT,95,83,,38,4,,40.00%,4.82%,0,0,,0.00%,0.00%,23.60%
BOURG LA REINE,14,25,,3,1,,21.43%,4.00%,0,0,,0.00%,0.00%,10.26%
BUS,1241,7231,,665,430,,53.59%,5.95%,0,0,,0.00%,0.00%,12.92%
CACHAN,33,38,,5,0,,15.15%,0.00%,0,0,,0.00%,0.00%,7.04%
CDG1,109,380,,48,23,,44.04%,6.05%,0,0,,0.00%,0.00%,14.52%
CDG2,185,1428,,69,40,,37.30%,2.80%,0,0,,0.00%,0.00%,6.76%
CHAMPIGNY SUR MARNE,26,24,,12,0,,46.15%,0.00%,0,0,,0.00%,0.00%,24.00%
CHARENTON LE PONT,19,27,,5,1,,26.32%,3.70%,0,0,,0.00%,0.00%,13.04%
CHATENAY MALABRY,8,8,,6,0,,75.00%,0.00%,0,0,,0.00%,0.00%,37.50%
CHATILLON,4,7,,2,0,,50.00%,0.00%,0,0,,0.00%,0.00%,18.18%
CHOISY LE ROI,33,39,,7,0,,21.21%,0.00%,0,0,,0.00%,0.00%,9.72%
CLAMART,8,28,,2,1,,25.00%,3.57%,0,0,,0.00%,0.00%,8.33%
CLICHY,8,8,,3,0,,37.50%,0.00%,0,0,,0.00%,0.00%,18.75%
CLICHY SOUS BOIS,21,24,,4,0,,19.05%,0.00%,0,0,,0.00%,0.00%,8.89%
COMMISSARIAT LA DEFENSE,41,47,,16,2,,39.02%,4.26%,0,0,,0.00%,0.00%,20.45%
COMMISSARIAT 1,106,157,,50,7,,47.17%,4.46%,0,0,,0.00%,0.00%,21.67%
COMMISSARIAT 10,126,103,,66,4,,52.38%,3.88%,0,0,,0.00%,0.00%,30.57%
COMMISSARIAT 11,89,71,,51,2,,57.30%,2.82%,0,0,,0.00%,0.00%,33.13%
COMMISSARIAT 12,134,135,,70,8,,52.24%,5.93%,0,0,,0.00%,0.00%,29.00%
COMMISSARIAT 13,165,129,,95,12,,57.58%,9.30%,0,0,,0.00%,0.00%,36.39%
COMMISSARIAT 14,103,127,,51,11,,49.51%,8.66%,0,0,,0.00%,0.00%,26.96%
COMMISSARIAT 15,100,131,,50,10,,50.00%,7.63%,0,0,,0.00%,0.00%,25.97%
COMMISSARIAT 16,117,126,,46,6,,39.32%,4.76%,0,0,,0.00%,0.00%,21.40%
COMMISSARIAT 17,107,154,,40,5,,37.38%,3.25%,0,0,,0.00%,0.00%,17.24%
COMMISSARIAT 18,227,190,,121,11,,53.30%,5.79%,0,0,,0.00%,0.00%,31.65%
COMMISSARIAT 19,82,91,,36,4,,43.90%,4.40%,0,0,,0.00%,0.00%,23.12%
COMMISSARIAT 2,34,49,,13,5,,38.24%,10.20%,0,0,,0.00%,0.00%,21.69%
COMMISSARIAT 20,147,90,,59,4,,40.14%,4.44%,0,0,,0.00%,0.00%,26.58%
COMMISSARIAT 3,59,66,,34,5,,57.63%,7.58%,0,0,,0.00%,0.00%,31.20%
COMMISSARIAT 4,80,119,,48,9,,60.00%,7.56%,0,0,,0.00%,0.00%,28.64%
COMMISSARIAT 5,74,69,,49,1,,66.22%,1.45%,0,0,,0.00%,0.00%,34.97%
COMMISSARIAT 6,87,174,,52,4,,59.77%,2.30%,0,0,,0.00%,0.00%,21.46%
COMMISSARIAT 7,96,197,,50,14,,52.08%,7.11%,0,0,,0.00%,0.00%,21.84%
COMMISSARIAT 8,147,301,,79,20,,53.74%,6.64%,0,0,,0.00%,0.00%,22.10%
COMMISSARIAT 9,97,149,,61,8,,62.89%,5.37%,0,0,,0.00%,0.00%,28.05%
COURBEVOIE,41,169,,17,2,,41.46%,1.18%,0,0,,0.00%,0.00%,9.05%
